STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1997	1	>= 225.0 m	0.5633333333333334	1
BY15 GOTLANDSDJ	135404	1997	3	>= 225.0 m	0.12875	2
BY15 GOTLANDSDJ	135404	1997	4	>= 225.0 m	-0.40392000000000006	1
BY15 GOTLANDSDJ	135404	1997	6	>= 225.0 m	0.0037333333333333294	1
BY15 GOTLANDSDJ	135404	1997	7	>= 225.0 m	-0.25090666666666667	1
BY15 GOTLANDSDJ	135404	1997	8	>= 225.0 m	-0.4535	1
BY15 GOTLANDSDJ	135404	1997	9	>= 225.0 m	-1.71666	1
BY15 GOTLANDSDJ	135404	1997	10	>= 225.0 m	-1.72788	1
BY15 GOTLANDSDJ	135404	1997	11	>= 225.0 m	-2.07944	2
BY15 GOTLANDSDJ	135404	1997	12	>= 225.0 m	-2.0196	1
BY15 GOTLANDSDJ	135404	1998	1	>= 225.0 m	0.8300000000000001	1
BY15 GOTLANDSDJ	135404	1998	2	>= 225.0 m	0.33666666666666667	1
BY15 GOTLANDSDJ	135404	1998	3	>= 225.0 m	0.4633333333333334	3
BY15 GOTLANDSDJ	135404	1998	4	>= 225.0 m	0.39	1
BY15 GOTLANDSDJ	135404	1998	6	>= 225.0 m	-0.13630333333333336	2
BY15 GOTLANDSDJ	135404	1998	7	>= 225.0 m	-0.96492	1
BY15 GOTLANDSDJ	135404	1998	8	>= 225.0 m	-1.3314400000000002	1
BY15 GOTLANDSDJ	135404	1998	9	>= 225.0 m	-2.1654600000000004	1
BY15 GOTLANDSDJ	135404	1998	10	>= 225.0 m	-1.1668800000000001	1
BY15 GOTLANDSDJ	135404	1998	11	>= 225.0 m	-1.4586000000000001	1
BY15 GOTLANDSDJ	135404	1998	12	>= 225.0 m	-1.26973	2
BY15 GOTLANDSDJ	135404	1999	1	>= 225.0 m	-1.76528	1
BY15 GOTLANDSDJ	135404	1999	2	>= 225.0 m	-1.95228	1
BY15 GOTLANDSDJ	135404	1999	3	>= 225.0 m	-2.2888800000000002	2
BY15 GOTLANDSDJ	135404	1999	4	>= 225.0 m	-2.3786400000000003	1
BY15 GOTLANDSDJ	135404	1999	5	>= 225.0 m	-1.9747200000000003	1
BY15 GOTLANDSDJ	135404	1999	6	>= 225.0 m	-3.1416000000000004	1
BY15 GOTLANDSDJ	135404	1999	7	>= 225.0 m	-3.32112	1
BY15 GOTLANDSDJ	135404	1999	8	>= 225.0 m	-3.4445400000000004	2
BY15 GOTLANDSDJ	135404	1999	9	>= 225.0 m	-3.45576	1
BY15 GOTLANDSDJ	135404	1999	10	>= 225.0 m	-3.50064	1
BY15 GOTLANDSDJ	135404	1999	12	>= 225.0 m	-1.8176400000000001	1
BY15 GOTLANDSDJ	135404	2000	1	>= 225.0 m	-3.2762400000000005	1
BY15 GOTLANDSDJ	135404	2000	2	>= 225.0 m	-3.3660000000000005	1
BY15 GOTLANDSDJ	135404	2000	3	>= 225.0 m	-3.32112	2
BY15 GOTLANDSDJ	135404	2000	4	>= 225.0 m	-2.60304	1
BY15 GOTLANDSDJ	135404	2000	5	>= 225.0 m	-3.0069600000000003	1
BY15 GOTLANDSDJ	135404	2000	6	>= 225.0 m	-3.7699200000000004	1
BY15 GOTLANDSDJ	135404	2000	7	>= 225.0 m	-4.51044	1
BY15 GOTLANDSDJ	135404	2000	8	>= 225.0 m	-4.802160000000001	1
BY15 GOTLANDSDJ	135404	2000	10	>= 225.0 m	-5.250960000000001	1
BY15 GOTLANDSDJ	135404	2000	11	>= 225.0 m	-5.61	1
BY15 GOTLANDSDJ	135404	2000	12	>= 225.0 m	-5.13876	1
BY15 GOTLANDSDJ	135404	2001	1	>= 225.0 m	-3.6352800000000003	1
BY15 GOTLANDSDJ	135404	2001	3	>= 225.0 m	-4.72362	2
BY15 GOTLANDSDJ	135404	2001	4	>= 225.0 m	-4.77972	1
BY15 GOTLANDSDJ	135404	2001	5	>= 225.0 m	-5.02656	1
BY15 GOTLANDSDJ	135404	2001	6	>= 225.0 m	-5.20608	1
BY15 GOTLANDSDJ	135404	2001	7	>= 225.0 m	-5.65488	1
BY15 GOTLANDSDJ	135404	2001	8	>= 225.0 m	-5.01534	2
BY15 GOTLANDSDJ	135404	2001	10	>= 225.0 m	-5.13876	1
BY15 GOTLANDSDJ	135404	2001	11	>= 225.0 m	-5.3856	1
BY15 GOTLANDSDJ	135404	2001	12	>= 225.0 m	-5.408040000000001	1
BY15 GOTLANDSDJ	135404	2002	1	>= 225.0 m	0.74	1
BY15 GOTLANDSDJ	135404	2002	3	>= 225.0 m	-3.07428	1
BY15 GOTLANDSDJ	135404	2002	4	>= 225.0 m	-3.5455200000000002	1
BY15 GOTLANDSDJ	135404	2002	5	>= 225.0 m	-4.061640000000001	1
BY15 GOTLANDSDJ	135404	2002	6	>= 225.0 m	-4.5328800000000005	1
BY15 GOTLANDSDJ	135404	2002	7	>= 225.0 m	-4.95924	1
BY15 GOTLANDSDJ	135404	2002	8	>= 225.0 m	-5.41926	2
BY15 GOTLANDSDJ	135404	2002	9	>= 225.0 m	-4.84704	1
BY15 GOTLANDSDJ	135404	2002	11	>= 225.0 m	-4.64508	1
BY15 GOTLANDSDJ	135404	2002	12	>= 225.0 m	-4.77972	1
BY15 GOTLANDSDJ	135404	2003	1	>= 225.0 m	-5.09388	1
BY15 GOTLANDSDJ	135404	2003	2	>= 225.0 m	-5.049	1
BY15 GOTLANDSDJ	135404	2003	3	>= 225.0 m	-2.0891200000000003	1
BY15 GOTLANDSDJ	135404	2003	4	>= 225.0 m	-1.6605600000000003	1
BY15 GOTLANDSDJ	135404	2003	5	>= 225.0 m	3.2199999999999998	1
BY15 GOTLANDSDJ	135404	2003	6	>= 225.0 m	3.34	1
BY15 GOTLANDSDJ	135404	2003	7	>= 225.0 m	2.5300000000000002	2
BY15 GOTLANDSDJ	135404	2003	8	>= 225.0 m	2.56	1
BY15 GOTLANDSDJ	135404	2003	9	>= 225.0 m	1.9849999999999999	1
BY15 GOTLANDSDJ	135404	2003	10	>= 225.0 m	1.77	1
BY15 GOTLANDSDJ	135404	2003	11	>= 225.0 m	1.545	1
BY15 GOTLANDSDJ	135404	2003	12	>= 225.0 m	1.68	1
BY15 GOTLANDSDJ	135404	2004	1	>= 225.0 m	1.2850000000000001	1
BY15 GOTLANDSDJ	135404	2004	2	>= 225.0 m	0.985	1
BY15 GOTLANDSDJ	135404	2004	3	>= 225.0 m	0.515	1
BY15 GOTLANDSDJ	135404	2004	4	>= 225.0 m	0.385	1
BY15 GOTLANDSDJ	135404	2004	5	>= 225.0 m	0.29589333333333334	1
BY15 GOTLANDSDJ	135404	2004	6	>= 225.0 m	-0.07854666666666668	1
BY15 GOTLANDSDJ	135404	2004	7	>= 225.0 m	-0.2822733333333334	2
BY15 GOTLANDSDJ	135404	2004	8	>= 225.0 m	-0.43360000000000004	1
BY15 GOTLANDSDJ	135404	2004	9	>= 225.0 m	-0.8434533333333333	1
BY15 GOTLANDSDJ	135404	2004	10	>= 225.0 m	-0.55352	1
BY15 GOTLANDSDJ	135404	2004	11	>= 225.0 m	-1.2716	1
BY15 GOTLANDSDJ	135404	2004	12	>= 225.0 m	-0.6148266666666667	1
BY15 GOTLANDSDJ	135404	2005	1	>= 225.0 m	-0.65824	1
BY15 GOTLANDSDJ	135404	2005	2	>= 225.0 m	-0.33221333333333336	1
BY15 GOTLANDSDJ	135404	2005	4	>= 225.0 m	-0.69564	2
BY15 GOTLANDSDJ	135404	2005	5	>= 225.0 m	-1.66056	1
BY15 GOTLANDSDJ	135404	2005	6	>= 225.0 m	-1.4062400000000002	1
BY15 GOTLANDSDJ	135404	2005	7	>= 225.0 m	-2.6254800000000005	1
BY15 GOTLANDSDJ	135404	2005	8	>= 225.0 m	-1.84008	1
BY15 GOTLANDSDJ	135404	2005	9	>= 225.0 m	-2.7264600000000003	2
BY15 GOTLANDSDJ	135404	2005	10	>= 225.0 m	-1.70544	1
BY15 GOTLANDSDJ	135404	2005	11	>= 225.0 m	-2.06448	1
BY15 GOTLANDSDJ	135404	2005	12	>= 225.0 m	-2.42352	1
BY15 GOTLANDSDJ	135404	2006	1	>= 225.0 m	-2.51328	1
BY15 GOTLANDSDJ	135404	2006	3	>= 225.0 m	-2.5245	2
BY15 GOTLANDSDJ	135404	2006	4	>= 225.0 m	-2.82744	1
BY15 GOTLANDSDJ	135404	2006	5	>= 225.0 m	-3.2313600000000005	1
BY15 GOTLANDSDJ	135404	2006	6	>= 225.0 m	-3.2538	1
BY15 GOTLANDSDJ	135404	2006	7	>= 225.0 m	-2.5806000000000004	1
BY15 GOTLANDSDJ	135404	2006	8	>= 225.0 m	-4.196280000000001	2
BY15 GOTLANDSDJ	135404	2006	9	>= 225.0 m	-3.6352800000000003	1
BY15 GOTLANDSDJ	135404	2006	10	>= 225.0 m	-4.712400000000001	1
BY15 GOTLANDSDJ	135404	2006	11	>= 225.0 m	-1.1444400000000001	1
BY15 GOTLANDSDJ	135404	2006	12	>= 225.0 m	-1.03224	1
BY15 GOTLANDSDJ	135404	2007	1	>= 225.0 m	-0.7854000000000001	1
BY15 GOTLANDSDJ	135404	2007	2	>= 225.0 m	-1.5259200000000002	1
BY15 GOTLANDSDJ	135404	2007	3	>= 225.0 m	-1.6830000000000003	1
BY15 GOTLANDSDJ	135404	2007	4	>= 225.0 m	0.13024	1
BY15 GOTLANDSDJ	135404	2007	5	>= 225.0 m	-0.11952000000000002	1
