STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	2006	8	0-10 m	24.666666666666664	2
BY15 GOTLANDSDJ	135404	2006	9	0-10 m	21.900000000000002	1
BY15 GOTLANDSDJ	135404	2006	10	0-10 m	21.133333333333336	1
BY15 GOTLANDSDJ	135404	2006	11	0-10 m	19.53333333333333	1
BY15 GOTLANDSDJ	135404	2006	12	0-10 m	20.866666666666664	1
BY15 GOTLANDSDJ	135404	2007	1	0-10 m	19.066666666666666	1
BY15 GOTLANDSDJ	135404	2007	2	0-10 m	18.933333333333334	1
BY15 GOTLANDSDJ	135404	2007	3	0-10 m	18.8	1
BY15 GOTLANDSDJ	135404	2007	4	0-10 m	18.099999999999998	1
BY15 GOTLANDSDJ	135404	2007	5	0-10 m	21.099999999999998	1
BY15 GOTLANDSDJ	135404	2007	6	0-10 m	22.2	1
BY15 GOTLANDSDJ	135404	2007	7	0-10 m	23.166666666666668	1
BY15 GOTLANDSDJ	135404	2007	8	0-10 m	24.699999999999996	2
BY15 GOTLANDSDJ	135404	2007	9	0-10 m	22.266666666666666	1
BY15 GOTLANDSDJ	135404	2007	10	0-10 m	22.400000000000002	1
BY15 GOTLANDSDJ	135404	2007	11	0-10 m	19.733333333333334	1
BY15 GOTLANDSDJ	135404	2007	12	0-10 m	22.366666666666664	1
BY15 GOTLANDSDJ	135404	2008	1	0-10 m	20.933333333333334	1
BY15 GOTLANDSDJ	135404	2008	2	0-10 m	19.866666666666667	1
BY15 GOTLANDSDJ	135404	2008	3	0-10 m	21.066666666666666	1
BY15 GOTLANDSDJ	135404	2008	4	0-10 m	20.966666666666665	1
BY15 GOTLANDSDJ	135404	2008	5	0-10 m	25.633333333333336	1
BY15 GOTLANDSDJ	135404	2008	6	0-10 m	26.933333333333334	1
BY15 GOTLANDSDJ	135404	2008	7	0-10 m	26.166666666666668	2
BY15 GOTLANDSDJ	135404	2008	8	0-10 m	21.96666666666667	1
BY15 GOTLANDSDJ	135404	2008	9	0-10 m	20.633333333333333	1
BY15 GOTLANDSDJ	135404	2008	10	0-10 m	20.03333333333333	1
BY15 GOTLANDSDJ	135404	2008	11	0-10 m	19.233333333333334	1
BY15 GOTLANDSDJ	135404	2008	12	0-10 m	20.966666666666665	1
BY15 GOTLANDSDJ	135404	2009	1	0-10 m	20.333333333333332	1
BY15 GOTLANDSDJ	135404	2009	2	0-10 m	21.933333333333334	1
BY15 GOTLANDSDJ	135404	2009	3	0-10 m	21.600000000000005	1
BY15 GOTLANDSDJ	135404	2009	4	0-10 m	23.099999999999998	1
BY15 GOTLANDSDJ	135404	2009	5	0-10 m	18.433333333333334	1
BY15 GOTLANDSDJ	135404	2009	6	0-10 m	20.03333333333333	1
BY15 GOTLANDSDJ	135404	2009	7	0-10 m	24.866666666666667	2
BY15 GOTLANDSDJ	135404	2009	8	0-10 m	22.03333333333333	1
BY15 GOTLANDSDJ	135404	2009	9	0-10 m	20.433333333333334	1
BY15 GOTLANDSDJ	135404	2009	10	0-10 m	19.533333333333335	1
BY15 GOTLANDSDJ	135404	2009	11	0-10 m	19.666666666666668	1
BY15 GOTLANDSDJ	135404	2009	12	0-10 m	20.966666666666665	1
BY15 GOTLANDSDJ	135404	2010	1	0-10 m	19.233333333333334	1
BY15 GOTLANDSDJ	135404	2010	2	0-10 m	21.3	1
BY15 GOTLANDSDJ	135404	2010	3	0-10 m	21.099999999999998	1
BY15 GOTLANDSDJ	135404	2010	4	0-10 m	20.400000000000002	1
BY15 GOTLANDSDJ	135404	2010	5	0-10 m	27.7	1
BY15 GOTLANDSDJ	135404	2010	6	0-10 m	20.966666666666665	1
BY15 GOTLANDSDJ	135404	2010	7	0-10 m	21.799999999999997	2
BY15 GOTLANDSDJ	135404	2010	8	0-10 m	20.333333333333332	1
BY15 GOTLANDSDJ	135404	2010	9	0-10 m	21.400000000000002	1
BY15 GOTLANDSDJ	135404	2010	10	0-10 m	22.866666666666664	1
BY15 GOTLANDSDJ	135404	2010	11	0-10 m	19.766666666666666	1
BY15 GOTLANDSDJ	135404	2010	12	0-10 m	19.400000000000002	1
BY15 GOTLANDSDJ	135404	2011	1	0-10 m	21.066666666666666	1
BY15 GOTLANDSDJ	135404	2011	3	0-10 m	22.399999999999995	1
BY15 GOTLANDSDJ	135404	2011	4	0-10 m	20.2	1
BY15 GOTLANDSDJ	135404	2011	6	0-10 m	22.0	1
BY15 GOTLANDSDJ	135404	2011	7	0-10 m	25.03333333333333	1
BY15 GOTLANDSDJ	135404	2011	8	0-10 m	25.600000000000005	1
BY15 GOTLANDSDJ	135404	2011	9	0-10 m	19.96666666666667	1
BY15 GOTLANDSDJ	135404	2011	10	0-10 m	19.53333333333333	1
BY15 GOTLANDSDJ	135404	2011	11	0-10 m	18.433333333333334	1
BY15 GOTLANDSDJ	135404	2011	12	0-10 m	19.533333333333335	1
BY15 GOTLANDSDJ	135404	2012	1	0-10 m		0
BY15 GOTLANDSDJ	135404	2012	3	0-10 m	20.766666666666666	1
BY15 GOTLANDSDJ	135404	2012	7	0-10 m	21.400000000000002	1
BY15 GOTLANDSDJ	135404	2012	8	0-10 m	21.900000000000002	1
BY15 GOTLANDSDJ	135404	2013	4	0-10 m	22.266666666666666	1
BY15 GOTLANDSDJ	135404	2013	5	0-10 m	19.566666666666666	1
BY15 GOTLANDSDJ	135404	2013	6	0-10 m	19.633333333333333	1
BY15 GOTLANDSDJ	135404	2013	7	0-10 m	24.166666666666668	1
BY15 GOTLANDSDJ	135404	2013	8	0-10 m	21.45	1
BY15 GOTLANDSDJ	135404	2013	9	0-10 m	23.066666666666666	1
BY15 GOTLANDSDJ	135404	2013	10	0-10 m	18.933333333333334	1
BY15 GOTLANDSDJ	135404	2013	11	0-10 m	20.5	1
BY15 GOTLANDSDJ	135404	2013	12	0-10 m		0
BY15 GOTLANDSDJ	135404	2014	2	0-10 m	20.233333333333334	1
BY15 GOTLANDSDJ	135404	2014	3	0-10 m	20.866666666666664	2
BY15 GOTLANDSDJ	135404	2014	4	0-10 m	21.7	1
BY15 GOTLANDSDJ	135404	2014	6	0-10 m	22.2	1
BY15 GOTLANDSDJ	135404	2014	7	0-10 m	24.7	1
BY15 GOTLANDSDJ	135404	2014	8	0-10 m	25.900000000000002	1
BY15 GOTLANDSDJ	135404	2014	9	0-10 m	22.366666666666664	1
BY15 GOTLANDSDJ	135404	2014	10	0-10 m	20.53333333333333	1
BY15 GOTLANDSDJ	135404	2014	11	0-10 m	20.366666666666667	1
BY15 GOTLANDSDJ	135404	2014	12	0-10 m	19.099999999999998	1
BY15 GOTLANDSDJ	135404	2015	1	0-10 m	19.066666666666666	1
BY15 GOTLANDSDJ	135404	2015	2	0-10 m	21.099999999999998	1
BY15 GOTLANDSDJ	135404	2015	3	0-10 m	20.53333333333333	1
BY15 GOTLANDSDJ	135404	2015	6	0-10 m	18.666666666666668	1
BY15 GOTLANDSDJ	135404	2015	7	0-10 m	21.8	1
BY15 GOTLANDSDJ	135404	2015	9	0-10 m	20.833333333333332	1
BY15 GOTLANDSDJ	135404	2015	10	0-10 m	18.599999999999998	1
BY15 GOTLANDSDJ	135404	2015	11	0-10 m	19.566666666666666	1
BY15 GOTLANDSDJ	135404	2015	12	0-10 m	19.03333333333333	1
BY15 GOTLANDSDJ	135404	2016	1	0-10 m	20.633333333333333	1
BY15 GOTLANDSDJ	135404	2016	2	0-10 m	22.233333333333334	1
BY15 GOTLANDSDJ	135404	2016	3	0-10 m	18.933333333333334	1
BY15 GOTLANDSDJ	135404	2016	4	0-10 m	19.233333333333334	1
BY15 GOTLANDSDJ	135404	2016	5	0-10 m	23.566666666666666	1
BY15 GOTLANDSDJ	135404	2016	6	0-10 m	23.0	1
BY15 GOTLANDSDJ	135404	2016	7	0-10 m	23.400000000000002	1
BY15 GOTLANDSDJ	135404	2016	8	0-10 m	22.599999999999998	1
BY15 GOTLANDSDJ	135404	2016	9	0-10 m	22.166666666666668	1
BY15 GOTLANDSDJ	135404	2016	10	0-10 m	22.3	1
